nome_datacenter;operadora;endereco;cep;cidade;estado;pais;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status
Century CEM-DC01;Century Telecom LTDA;José Permínio da Silva st., 80;32341590;Contagem;Minas Gerais;Brazil;-19.9305832;-44.0614069;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/belo-horizonte/century-cem-dc01/;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;;1.0;1.0;1.0;0;0;0;0;0;;;ok;ok
Cirion CUR1;Cirion;R. do Semeador, 350;81270;Curitiba;Paraná;Brazil;-25.4703512;-49.3502146;1;2;Facility;Colocation;Carrier Neutral, Hyperscale-Ready;https://www.datacentermap.com/brazil/curitiba/cirion-cur1/;1.0;1.0;662.0;662.0;;;Sole-tenant;;N+1;1.0;1.0;1.0;;;2.0;1.0;;1.0;1.0;;;;;;;;;;;;;;;;;;0;0;23;0;0;CUR1;1564.0;bloqueado;ok
Cirion RIO2;Cirion;Av. Pedro II, 235;20941;Rio de Janeiro;;Brazil;-22.9049036;-43.2159206;1;2;Facility;Colocation;Carrier Neutral, Hyperscale-Ready;https://www.datacentermap.com/brazil/rio-de-janeiro/cirion-rio2/;60.0;60.0;3310.0;3310.0;2026.0;Purpose-built;Sole-tenant;;N+1;1.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;RIO2;;bloqueado;ok
Claro Data Center LAPA;Claro;R. Aldo de Azevedo, 200 - Vila Madalena;05453-030;São Paulo;;Brazil;-23.54195739494818;-46.70931247916715;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/claro-lapa/;;;;;2012.0;Purpose-built;Sole-tenant;;;;;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
ClickIP Datacenters;ClickIP Datacenters;Rua Presidente João Batista Figueiredo, 15;69058695;Manaus;AMAZONAS;Brazil;-3.0553292;-59.990585;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/manaus/clickip-datacenters/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;0;;15825.0;bloqueado;ok
Novvacore Data Center;Novvacore;Rua Professor Filadelfo de Azevedo 712;04508011;Sao Paulo;Sao Paulo;Brazil;-23.5877666;-46.6706535;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/cma/;2.0;2.0;400.0;400.0;1990.0;Purpose-built;Sole-tenant;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;;;bloqueado;ok
Connect Web Data Center;Connect Web;Av. das Nações Unidas, 12995;04578-000;São Paulo;;Brazil;-23.6055862;-46.6960933;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/connect-web/;;;;;;Retrofitted;Multi-tenant (mixed use);;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1;;;bloqueado;ok
Constel Cascavel Centro;Constel Tecnologia;Rua Minas Gerais, 1932 - Centro;85812-030;Cascavel;Parana;Brazil;-24.9480313;-53.4498304;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-minas/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Constel Cascavel Country;Constel Tecnologia;Rua Pará, 812 - Country;85813-060;Cascavel;Parana;Brazil;-24.9393548;-53.4416307;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-para/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;2;0;1;;8518.0;bloqueado;ok
Contato Data Center;Contato Data Center;Rua Doutor Américo Cavalcante Rabello, 241;88901052;Araranguá;Santa Catarina;Brazil;-28.9420155;-49.4979287;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/ararangu/contato-cloud/;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;1.0;0;0;0;0;0;;;ok;ok
