nome_datacenter;operadora;endereco;cep;link_datacenter
PIX G8 Sao Paulo;Megatelecom;Rua Florida, 1738;04565-001;https://www.datacentermap.com/brazil/sao-paulo/pix-g8-sao-paulo/
ProveNET IDC;ProveNET Internet Services LTDA;Rua Isaías Domingos da Silveira, 215;60177-180;https://www.datacentermap.com/brazil/fortaleza/provenet-idc/
QNAX Data Center;QNAX Data Center;Av. Nossa Senhora do Ó, 865 - Limão;02715-000;https://www.datacentermap.com/brazil/sao-paulo/qnax-data-center/
Quântico Data Center;Quântico Data Center;R. Eng. Homero Carlos Simon, 1100 - Guajuviras;92442000;https://www.datacentermap.com/brazil/porto-alegre/quantico-canoas/
Ascenty - Hortolandia HTL1;Ascenty Data Centers;R. Papa João Paulo II 4;13185-252;https://www.datacentermap.com/brazil/campinas/r-papa-joao-paulo-ii-4/
Ascenty - Paulinia PLN1;Ascenty Data Centers;R. Sebastião Cardoso 350;13140-000;https://www.datacentermap.com/brazil/campinas/r-sebastião-cardoso/
R4 Data Center;R4 Data Center;Avenida Duque de Caxias, 882 - Novo Centro;87020-025;https://www.datacentermap.com/brazil/maringa/r4-data-center/
R4C Datacenter;R4C;Av. Das Americas 500;22640100;https://www.datacentermap.com/brazil/rio-de-janeiro/r4c-networks/
RGK4IT Data Center;RGK4IT;Av. José Alves Nendo, 467 - Jardim São Silvestre;87055-000;https://www.datacentermap.com/brazil/maringa/rgk4it-data-center/
Ascenty - Sumare SUM1;Ascenty Data Centers;Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza);13177-435;https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-1/
Ascenty - Sumare SUM2;Ascenty Data Centers;Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza);13177-435;https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-2/
Insidesign Ribeirao Data Center;Insidesign Tecnologia Ltda EPP;Av. Saudade, 1210 - Campos Elísios;14085-010;https://www.datacentermap.com/brazil/sao-paulo/rpodc/
Ascenty - Hortolandia HTL2;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-2/
Ascenty - Hortolandia HTL3;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-3/
Ascenty - Fortaleza FTZ1;Ascenty Data Centers;Rua Quatorze, 1161;61921-430;https://www.datacentermap.com/brazil/fortaleza/rua-quatorze-1161/
Scala Data Centers SGRUTB06;Scala Data Centers;Av. Ceci;06460-120;https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb06/
Scala Data Centers SGRUTB08;Scala Data Centers;Av. Ceci, 1649;06460-120;https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb08/
Scala Data Centers SGRUTB12;Scala Data Centers;Av. Ceci;06460-120;https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb12/
Scala Data Centers SGIGSM01;Scala Data Centers;Rod. Pres. Dutra 4300;25565;https://www.datacentermap.com/brazil/rio-de-janeiro/scala-sgigsm01/
Scala Data Centers SGRUSP02;Scala Data Centers;Alameda Glete 700;01215;https://www.datacentermap.com/brazil/sao-paulo/scala-sgrusp02/
Scala Data Centers SGRUTB01;Scala Data Centers;Av. Ceci 1850;06460;https://www.datacentermap.com/brazil/tambore/scala-sgrutb01/
Scala Data Centers SGRUTB03;Scala Data Centers;Av. Ceci 1750;04065;https://www.datacentermap.com/brazil/tambore/scala-sgrutb03/
Scala Data Centers SGRUTB04;Scala Data Centers;Av. Ceci 1650;06460;https://www.datacentermap.com/brazil/tambore/scala-sgrutb04/
Scala Data Centers SGRUTB05;Scala Data Centers;Av. Ceci 1600;06460;https://www.datacentermap.com/brazil/tambore/scala-sgrutb05/
Scala Data Centers SPOAPA01;Scala Data Centers;Av. Pernambuco 1124 ;90240;https://www.datacentermap.com/brazil/porto-alegre/scala-spoapa01/
